"X","Y","OBJECTID","PID","SSL","PMPROPERTYID","UBID","PROPERTYNAME","PMPARENTPROPERTYID","PARENTPROPERTYNAME","ADDRESSOFRECORD","OWNEROFRECORD","WARD","REPORTEDADDRESS","CITY","STATE","POSTALCODE","YEARBUILT","PRIMARYPROPERTYTYPE_EPACALC","TAXRECORDFLOORAREA","REPORTEDBUILDINGGROSSFLOORAREA","BEPS","BEPS_METRIC_TYPE","BEPS_PROPERTY_GROUP","PROPERTY_BEPS_METRIC_YEAR","PROPERTY_BEPS_METRIC","MEETS_BEPS","DISTANCE_FROM_BEPS_ESTIMATED","PERFORMANCE_REQUIREMENT_EST","LATITUDE","LONGITUDE","XCOORD","YCOORD","MAR_ID","GIS_ID","GLOBALID","LASTUPDATE"
-76.9930397761919,38.8402768484523,106918,DC59340803,5934    0803,,,,,,3400 WHEELER ROAD SE,DISTRICT OF COLUMBIA,8,,WASHINGTON,DC,,,,90985,,,,,,,Does Not Meet BEPS: Incomplete/Missing Report,,,38.84026907,-76.9930375,400604.45986632,130274.74677233,294566,,{DF9A5348-F375-29BB-E053-792F520AEC22},
-76.980379639089,38.9051835001689,106893,DC40770218,4077    0218,,,,,,1164 BLADENSBURG RD NE,1164 BLADENSBURG LLC,5,,WASHINGTON,DC,,,,59135,,,,,,,Under Review,,,38.90517571,-76.98037736,401702.02011684,137480.02997823,155908,,{DF9A5348-F35C-29BB-E053-792F520AEC22},
-77.0170775480477,38.908865430965,106834,DC05110823,0511    0823,,,,,,429 O STREET NW,DISTRICT OF COLUMBIA,6,,WASHINGTON,DC,,,,33696,,,,,,,Does Not Meet BEPS: Incomplete/Missing Report,,,38.90885764,-77.01707526,398519.00988299,137888.70982046,237434,,{DF9A5348-F321-29BB-E053-792F520AEC22},
-77.0299976567837,38.9075116658907,108247,PM4019470,0243    2538,4019470,,Solo Piazza Condominium,,,1300 13TH ST NW,SOLO PIAZZA CONDOMINIUM,2,"1300 13th Street, NW",WASHINGTON,DC,20005,2003,Multifamily Housing,86917,86917,,,,,,Does Not Meet BEPS: Incomplete/Missing Report,,,38.90750388,-77.02999536,397398.36029905,137738.72029984,279017,,{DF9A5348-F8A6-29BB-E053-792F520AEC22},2022/05/18 00:00:00+00
-76.9217450848442,38.8894873265586,106903,DC52830153,5283    0153,,,,,,5601 EAST CAPITOL STREET SE,DISTRICT OF COLUMBIA,7,,WASHINGTON,DC,,,,73007,,,,,,,Does Not Meet BEPS: Incomplete/Missing Report,,,38.88947954,-76.92174283,406789.32968077,135740.35726927,294610,,{DF9A5348-F366-29BB-E053-792F520AEC22},
-77.0142555230427,38.9179279277249,106870,DC31151855,3115    1855,,,,,,150 V ST NW,PARKER FLATS @ GAGE SCHOOL,5,,WASHINGTON,DC,,,,71568,,,,,,,Does Not Meet BEPS: Incomplete/Missing Report,,,38.91792014,-77.01425323,398763.93034448,138894.68039456,304080,,{DF9A5348-F345-29BB-E053-792F520AEC22},
-77.0353726201462,38.9178769330826,107774,PM3513627,0189    0060,3513627,,Northumberland Apartments Inc,,,2039 NEW HAMPSHIRE AVE NW,NORTHUMBERLAND APARTMENTS INC,1,2039 New Hampshire Ave NW,WASHINGTON,DC,20009,1908,Multifamily Housing,104390,104390,,,,,,Does Not Meet BEPS: Incomplete/Missing Report,,,38.91786914,-77.03537032,396932.61039029,138889.51671111,242054,,{DF9A5348-F6CD-29BB-E053-792F520AEC22},2022/05/18 00:00:00+00
-77.0299861540759,38.9185442543108,106819,DC02350205,0235    0205,,,,,,1301 V STREET NW,DISTRICT OF COLUMBIA,1,,WASHINGTON,DC,,,,52133,,,,,,,Does Not Meet BEPS: Incomplete/Missing Report,,,38.91853646,-77.02998386,397399.76000578,138963.42761216,240335,,{DF9A5348-F312-29BB-E053-792F520AEC22},
-77.0734276010483,38.9353205820536,106858,DC19205253,1920    5253,,,,,,3401 IDAHO AVE NW,CATHEDRAL COMMONS PARTNERS LLC,3,,WASHINGTON,DC,,,,92988,,,,,,,Under Review,,,38.93531279,-77.07342529,393633.96021557,140827.87705767,311539,,{DF9A5348-F339-29BB-E053-792F520AEC22},
-77.0439087605822,38.8971269083554,106814,DC01220030,0122    0030,,,,,,1900 F ST NW,GEORGE WASHINGTON UNIVERSITY,2,,WASHINGTON,DC,,,,206138,,,,,,,Under Review,,,38.89711912,-77.04390646,396191.23030768,136586.41673614,241088,,{DF9A5348-F30D-29BB-E053-792F520AEC22},
